id	parliament	year	candidate_name	edate	birth_year	country_birth	occupation	riding_id	riding	province	votes	percent_votes	party_raw	party_minor_group	party_major_group	gov_party_raw	gov_minor_group	gov_major_group	num_candidates	type_elxn	elected	incumbent	gender	lgbtq2_out	indigenousorigins	lawyer	censuscategory	acclaimed	switcher	multiple_candidacy
29360	14	1921	"TAYLOR, Herbert J.W."	"1921-12-06"			"farmer"		"PEEL"	"Ontario"	3350	27.977283	"Progressive"	"Progressive"	"Progressive"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	0	8	0	0	0
3370	14	1921	"CARSCALLEN, Archibald Brisco"	"1921-12-06"			"merchant"		"LENNOX AND ADDINGTON"	"Ontario"	4606	49.309494	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	0	0	0		0	0	6	0	0	0
10047	14	1921	"IVEL, William McKinnon"	"1921-12-06"			"druggist"		"VICTORIA CITY"	"British Columbia"	5033	40.206104	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	0	0	0		0	0	3	0	0	0
31176	14	1921	"WILTON, John W."	"1921-12-06"			"barrister"		"WINNIPEG CENTRE"	"Manitoba"	4032	20.811398	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	5	1	0	0	0		0	1	4	0	0	0
9859	14	1921	"HUNT, Aylmer Byron"	"1921-12-06"	1864		"company director"		"COMPTON"	"Quebec"	7866	66.508835	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	1	1	0		0	0	0	0	0	0
24181	14	1921	"MORRISON, John William Geddie"	"1921-12-06"			"barrister"		"BATTLE RIVER"	"Alberta"	1726	11.229669	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	1	4	0	0	0
6772	14	1921	"FINDLAY, John Walter"	"1921-12-06"	1866		"farmer"		"BRUCE SOUTH"	"Ontario"	4762	43.917736	"Progressive"	"Progressive"	"Progressive"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	1	0	0		0	0	8	0	0	0
31148	14	1921	"WILSON, James Robert"	"1921-12-06"			"miller"		"SASKATOON"	"Saskatchewan"	2909	19.511703	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	1	0		0	0	9	0	0	0
9339	14	1921	"HERVEY, Chilion Longley"	"1921-12-06"			"civil engineer"		"GLENGARRY AND STORMONT"	"Ontario"	3892	24.093103	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	0	2	0	0	0
7010	14	1921	"FORKE, Robert"	"1921-12-06"	1860		"farmer"		"BRANDON"	"Manitoba"	9596	68.21639	"Progressive"	"Progressive"	"Progressive"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	1	0	0		0	0	8	0	0	0
